Question,Answer
How much is the admission fee?,Admission fee is ₹5000.
How can I apply for a hostel?,Fill the hostel form online at hostel.university.edu.
When will exams start?,Exams will begin in December as per the academic calendar.
What are the office timings?,The university office is open from 9 AM to 5 PM on weekdays.
What is the semester duration?,Each semester lasts for 6 months.
How can I get my ID card?,You can collect your ID card from the admin office after registration.
Who is the head of the department of CSE?,The head of CSE is Dr. R. Sharma.
What is the university website?,The official website is www.university.edu.
How to contact the admission office?,Email admission@university.edu or call +91-9876543210.
When is the last date to submit assignments?,Assignments must be submitted by the 20th of each month.
